"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
283,2,17848.79915,13856.71738,124.86383,1548.69545,149.48076,25.21124,16.97661
284,2,17928.39963,17224.87838,226.95208,4482.5634,127.93244,25.66293,19.19027
285,2,17986.64975,8675.13427,76.86253,705.51987,187.35782,32.38272,18.94049
286,2,17929.06192,11513.72756,15.96946,281.64212,151.62872,30.20147,5.72291
287,2,17919.48303,15037.35551,118.18975,3108.83019,210.59225,46.39688,13.85193
288,2,17980.26056,15891.94016,120.40919,3580.69383,226.30213,45.10619,12.16252
289,2,18145.10736,5988.653,82.85647,1107.00753,203.07396,40.04622,17.10719
290,2,18334.65349,7285.42825,102.86722,1192.98431,167.90954,29.0731,17.43368
291,2,18350.75818,16749.06898,280.49181,21679.56933,89.8767,33.25043,8.00724
292,2,18513.12011,17881.52757,205.68023,4958.90822,122.5769,36.83578,20.30547
293,2,18553.61121,8741.79552,126.39445,2592.37979,137.59525,33.78957,13.87889
294,2,18539.14523,15409.40793,63.00594,978.79421,204.0883,35.79077,10.68918
295,2,18542.38644,17262.65353,99.10431,1929.77464,201.73237,37.04689,12.81723
296,2,18586.89117,14213.42281,197.31698,6919.13226,142.72933,35.77222,13.15945
297,2,18621.50266,14424.16069,116.83446,3550.95264,187.69165,45.61257,11.71013
298,2,18566.10806,15027.58106,74.96185,1107.48324,208.55441,32.71521,11.79498
299,2,18588.6046,16254.22844,75.03394,1669.85925,218.01872,43.15819,10.29089
300,2,18714.69294,9510.4675,60.49828,489.57419,170.22649,25.14419,14.02259
301,2,18900.40085,6146.56446,146.13704,2073.00945,224.03989,34.00951,22.89946
302,2,18718.99164,17902.15968,181.26738,2770.34168,147.62686,33.57908,25.76372
303,2,18818.73117,5061.34343,335.30672,27186.84432,0,33.97461,9.23453
304,2,18812.32715,11004.75132,91.40172,1041.73097,155.75989,26.67068,14.75685
305,2,18919.38041,10421.65003,96.97634,505.79603,144.34853,28.43756,35.48761
306,2,18937.98206,11352.34584,99.23998,1205.28977,149.4766,25.68156,14.37836
307,2,18846.45931,16240.83166,182.41332,5424.10348,143.77484,44.9416,17.853
308,2,18872.28302,16987.35281,89.40701,1380.76932,214.14567,42.56672,16.78848
309,2,18876.81532,16453.07685,262.01474,8637.91385,128.65386,39.14757,19.99236
310,2,19060.36281,14758.8056,38.73548,283.82783,180.14253,34.90233,16.05551
311,2,19123.82238,15532.97163,111.50911,716.76184,158.39517,22.23548,25.81119
